"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 10 22:16:03 BRT 2023","Sat Jun 10 22:16:04 BRT 2023","1086","","Login","","","","Valid and invalid loggin (example #3)",""
"passed","Sat Jun 10 22:16:06 BRT 2023","Sat Jun 10 22:16:12 BRT 2023","6359","","Login","","","","Valid and invalid loggin (example #4)",""
"passed","Sat Jun 10 22:16:02 BRT 2023","Sat Jun 10 22:16:03 BRT 2023","1089","","Login","","","","Valid and invalid loggin (example #2)",""
"passed","Sat Jun 10 22:15:58 BRT 2023","Sat Jun 10 22:16:00 BRT 2023","1516","","Login","","","","Valid and invalid loggin (example #1)",""
"passed","Sat Jun 10 22:16:14 BRT 2023","Sat Jun 10 22:16:15 BRT 2023","880","","Login","","","","Valid and invalid loggin (example #5)",""
"passed","Sat Jun 10 22:15:45 BRT 2023","Sat Jun 10 22:15:47 BRT 2023","1581","","common features","","","","Login with sucess",""
"passed","Sat Jun 10 22:15:21 BRT 2023","Sat Jun 10 22:15:24 BRT 2023","2740","","add or remove intens on the cart","","","","add or Remove un Item (example #1)",""
"passed","Sat Jun 10 22:15:26 BRT 2023","Sat Jun 10 22:15:27 BRT 2023","1362","","add or remove intens on the cart","","","","add or Remove un Item (example #2)",""
